,Site,WTG,Major Component,Shutdown Date,Complete Replacement?,Date Returned to Service,Catastrophic,Uptower Gear,Bearing only
178,McAdoo,7,Gearbox,2016-04-04,Yes,2016-04-08,1.0,,
179,McAdoo,10,Gearbox,2016-03-16,Yes,2016-04-02,1.0,,
180,McAdoo,33,Gearbox,2015-12-21,Yes,2015-01-19,1.0,,
181,McAdoo,34,Gearbox,2015-10-13,Yes,2015-11-14,1.0,,
182,McAdoo,28,Gearbox,2015-09-03,No,2015-09-11,,,1.0
183,McAdoo,14,Gearbox,2015-07-30,No,2015-07-31,,,1.0
184,McAdoo,15,Gearbox,2015-07-13,No,2015-08-06,,1.0,
185,McAdoo,54,Gearbox,2015-02-13,No,2015-02-15,,,1.0
186,McAdoo,50,Gearbox,2015-02-12,No,2015-02-13,,,1.0
187,McAdoo,49,Gearbox,2015-02-11,No,2015-02-12,,,1.0
188,McAdoo,40,Gearbox,2014-12-02,No,2014-12-04,,,1.0
189,McAdoo,62,Gearbox,2014-11-21,Yes,2014-11-25,1.0,,
190,McAdoo,74,Gearbox,2014-11-19,Yes,2014-11-21,1.0,,
191,McAdoo,25,Gearbox,2014-11-04,No,2014-11-07,,,1.0
192,McAdoo,91,Gearbox,2014-09-09,No,2014-11-14,,,1.0
193,McAdoo,90,Gearbox,2014-08-20,No,2014-09-08,,,1.0
194,McAdoo,87,Gearbox,2014-04-07,Yes,2014-05-04,1.0,,
195,McAdoo,42,Gearbox,2014-03-28,Yes,2014-05-10,1.0,,
196,McAdoo,22,Gearbox,2013-12-11,Yes,2014-01-16,1.0,,
197,McAdoo,51,Gearbox,2013-08-28,No,2013-08-28,,,1.0
198,McAdoo,18,Gearbox,2013-08-05,Yes,2013-09-05,1.0,,
199,McAdoo,46,Gearbox,2013-07-22,No,2013-08-22,,1.0,
200,McAdoo,56,Gearbox,2013-07-01,No,2013-07-01,,,1.0
201,McAdoo,19,Gearbox,2013-06-19,No,2013-06-19,,,1.0
202,McAdoo,48,Gearbox,2013-06-10,No,2013-07-11,,,1.0
203,McAdoo,66,Gearbox,2013-06-05,No,2013-06-12,,,1.0
204,McAdoo,65,Gearbox,2013-06-04,No,2013-06-18,,,1.0
205,McAdoo,38,Gearbox,2013-05-28,No,2013-06-07,,,1.0
206,McAdoo,11,Gearbox,2013-05-07,No,2013-05-09,,,1.0
207,McAdoo,4,Gearbox,2013-04-29,No,2013-05-27,,1.0,
208,McAdoo,100,Gearbox,2012-07-23,No,2012-07-30,,1.0,
209,McAdoo,75,Gearbox,2012-05-02,Yes,2012-06-18,1.0,,
210,McAdoo,35,Gearbox,2012-04-24,No,2012-05-24,,1.0,
211,McAdoo,79,Gearbox,2012-04-24,No,2012-05-21,,1.0,
212,McAdoo,48,Gearbox,2012-02-22,No,2012-02-25,,,1.0
213,McAdoo,2,Gearbox,2012-02-20,No,2012-02-22,,,1.0
214,McAdoo,20,Gearbox,2012-02-13,No,2012-02-13,,,1.0
215,McAdoo,4,Gearbox,2012-02-10,No,2012-02-10,,,1.0
216,McAdoo,80,Gearbox,2011-01-21,No,2011-01-22,,,1.0
217,McAdoo,70,Gearbox,2011-01-14,No,2011-01-19,,,1.0
218,McAdoo,29,Gearbox,2011-01-13,No,2011-01-13,,,1.0
219,McAdoo,84,Gearbox,2011-01-08,No,2011-01-10,,,1.0
220,McAdoo,65,Gearbox,2011-01-05,No,2011-01-13,,,1.0
221,McAdoo,82,Gearbox,2011-01-01,No,2011-01-02,,,1.0
222,McAdoo,15,Gearbox,2010-12-06,Yes,2011-01-06,1.0,,
223,McAdoo,23,Gearbox,2010-11-01,No,,,,1.0
224,McAdoo,61,Gearbox,2010-09-17,No,2010-09-27,,,1.0
225,McAdoo,67,Gearbox,2010-09-17,No,2010-09-25,,,1.0
226,McAdoo,97,Gearbox,2010-07-27,No,2010-08-28,,1.0,
227,McAdoo,63,Gearbox,2009-05-01,Yes,2009-05-15,1.0,,
228,McAdoo,59,Gearbox,,No,,,1.0,
